"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"46012",2014-02-19,"Romania","Transelectrica (Bond Issue)","Power and energy","Public","S",40,NA,NA,NA,NA,8.91464229997771,"RON 40 million.","http://www.ebrd.com/english/pages/project/psd/2014/46012.shtml",9.01223643859049
"4729",2000-06-23,"Romania","Romania National Power Grid Company (NPGC)","Power and energy","Public","C",NA,NA,NA,NA,NA,242,"US$ 204.5 million (€242.0 million)","http://www.ebrd.com/english/pages/project/psd/2000/4729.shtml",318.960749330954
"4922",1998-09-18,"Kazakhstan","Karaganda Power","Power and energy","Private","C",NA,NA,NA,NA,NA,52.3,"US$ 62 million (ECU 52.3 million).","http://www.ebrd.com/english/pages/project/psd/1998/4922.shtml",71.0068917987595
"5058",1999-06-24,"Regional","Central & Eastern Europe Power Fund","Power and energy","Private","C",NA,NA,NA,NA,318.7,86.4554446128715,"US$ 68.7 million at first closing
US$ 250 million at second closing ","http://www.ebrd.com/english/pages/project/psd/1999/5058.shtml",116.363397847871
"5422",1999-08-09,"Regional","Energy Efficiency and Emissions Reduction Fund","Power and energy","Private","C",NA,NA,NA,NA,NA,100,"EUR 100 million (possible expansion up to EUR 150 million)","http://www.ebrd.com/english/pages/project/psd/1999/5422.shtml",134.211422731918
"5877",2002-06-19,"Bulgaria","Maritza East III Power Project","Power and energy","Private","C",NA,NA,NA,NA,NA,648,"€648 million.","http://www.ebrd.com/english/pages/project/psd/2002/5877.shtml",814.912224704756
"6028",2001-04-10,"Russia","RAO UES Restructuring Loan.","Power and energy","Private","C",NA,NA,NA,NA,NA,100,"€100 million. ","http://www.ebrd.com/english/pages/project/psd/2001/6028.shtml",128.88452731436
"6206",2000-03-23,"Moldova","Moldova Power Distribution Equity Investment","Power and energy","Private","C",NA,NA,NA,NA,NA,5.16,"US$ 5 million (€5.16 million).","http://www.ebrd.com/english/pages/project/psd/2000/6206.shtml",6.83987888303241
"6217",1999-08-02,"Bulgaria","Bulgarian Transmission Network","Power and energy","Public","S",NA,NA,NA,NA,NA,150,"€150 million","http://www.ebrd.com/english/pages/project/psd/1999/6217.shtml",201.317134097877
"6231",1999-11-17,"Georgia","AES Telasi","Power and energy","Private","C",NA,NA,NA,NA,147,39.6900561931816,"US$ 147.0 million.","http://www.ebrd.com/english/pages/project/psd/1999/6231.shtml",53.1659634995467
"6274",1999-05-14,"Kazakhstan","KEGOC Power Transmission and Rehabilitation Project","Power and energy","Public","S",NA,NA,NA,NA,NA,252.2,"US$ 255.8 million (EUR 252.2 million) ","http://www.ebrd.com/english/pages/project/psd/1999/6274.shtml",339.444773400137
"795",1996-10-17,"Uzbekistan","Syrdariya Power Plant Rehabilitation","Power and energy","Public","C",NA,NA,NA,NA,NA,39,"US$ 48.2 million (ECU 39 million). ","http://www.ebrd.com/english/pages/project/psd/1996/795.shtml",54.2712502943254
"8345",1999-10-18,"Albania","Albania Power Sector Reconstruction","Power and energy","Public","C",NA,NA,NA,NA,NA,60,"EUR 60 million.","http://www.ebrd.com/english/pages/project/psd/1999/8345.shtml",80.4446460980036
